PREC = 320, tol = 6.908966e-310
order = 2, lambda = 3.4985616993277015199989453819445392678868790365444268365728236385233853212434210287308103264849856e+00 
order = 3, lambda = 3.5546408627688248653660818519484917918272000141143007769918972230018045753792627099408892187814641e+00 
order = 4, lambda = 3.566667379856268513972631157455368091937954066001357216028597418348548669381843501792111053290005e+00 
order = 5, lambda = 3.5692435316371103378082495109127455581766294410483153010468615172165539376970920411308638437011408e+00 
order = 6, lambda = 3.5697952937499446205153525296069779756774591767650262632259639446062942102981446091893459256696209e+00 
order = 7, lambda = 3.5699134654223485148409735196680118263186321889073686299704621656350089306235880668031885032433211e+00 
order = 8, lambda = 3.569938774233305487793446067562986926361150146243324397069739650787017292302960416712532801514444e+00 
order = 9, lambda = 3.5699441946080649332436333438721733364700967976087403972286696560402717606988887440890051239931149e+00 
order = 10, lambda = 3.5699453554864685808928023823081642488163850277755740639649404880912652032317815987494469058337519e+00 
order = 11, lambda = 3.5699456041110784381341172613816007521225000068803685272166043045405094665424281206359689997458794e+00 
order = 12, lambda = 3.5699456573588564997296076145681267526604102684991967637705852002354713653820893854741375444175043e+00 
order = 13, lambda = 3.5699456687628999683470976698092001600658310767638239611611575312305054612623134672899410121050574e+00 
order = 14, lambda = 3.5699456712052968545289140940915181597126814686792353832518848911735980778003651169870561511877644e+00 
order = 15, lambda = 3.5699456717283834742050690192096973333697091450035687234702498642248558107577980776922112580268961e+00 
order = 16, lambda = 3.5699456718404126096918344700869242030433243926552701836277324488812492916180009289329760443275304e+00 
order = 17, lambda = 3.5699456718644058198519157431814989437366428768742500012180313776308636343683648770481116416595846e+00 
order = 18, lambda = 3.5699456718695444307256281149080796023027669972068565487150891256169375715707002133055486893491155e+00 
order = 19, lambda = 3.5699456718706449638154168955016539851271981094979676818237388138845167213547758096336642220319075e+00 
order = 20, lambda = 3.5699456718708806643016934408721443201839391224163609225515007551371893641002093342380929669381131e+00 
order = 21, lambda = 3.5699456718709311441280125762486741953450099828225776285133508102158926084264250131166305237267231e+00 
order = 22, lambda = 3.5699456718709419553609695599160619956411361789940269567037931169067304308610530826353720079243678e+00 
order = 23, lambda = 3.5699456718709442707959972328025985630574514484604752306878962203636181931053471514977466730607557e+00 
order = 24, lambda = 3.5699456718709447666912747377954329833395627988006659438856793220862901060531814069108225277316631e+00 
order = 25, lambda = 3.5699456718709448728968574091892769792410534732634685990878269295940689855713875953475843132540285e+00 
order = 26, lambda = 3.5699456718709448956428408904631137637850465510339226861555169018818891513708368633763341016807061e+00 
order = 27, lambda = 3.5699456718709449005143340033174999247532053888378605609809647059723028493039796060661627363097814e+00 
order = 28, lambda = 3.5699456718709449015576586486609375795187604084436907510654650668469571497676951535568045537784852e+00 
order = 29, lambda = 3.5699456718709449017811068380279143387436408669299569984191379005562220805536437495535005768572636e+00 
order = 30, lambda = 3.569945671870944901828962597550344517534522936832059944252512713910400604447456695414100714967168e+00 
