PREC = 1000, tol = 6.917820e-310
order = 2, lambda = 3.498561699327701519998945381944539267886879036544426836572823638523385321243421028730810326484984401209230849880787296377319252390490227957481138086559154248997993665524769250269148494784679135345827303566413917952975789097056143835526002917001895371728814663163713141658904332732773280245269095205106e+00 
order = 3, lambda = 3.55464086276882486536608185194849179182720001411430077699189722300180457537926270994088921878146246402948801504571236620400633075802282262824558489092851777284783786719576488713344063372533067279433757158178475433058169528178767370154712918007822256858231654446602746112801847049063880199406505204940224e+00 
order = 4, lambda = 3.56666737985626851397263115745536809193795406600135721602859741834854866938184350179211105329000710120347077340566923358069340713654979132257450473907732282028199673850787092231620699628518847363542128295570163772754953563052904188005845584929317935814191327549828509660784481739349795019733227465038748e+00 
order = 5, lambda = 3.56924353163711033780824951091274555817662944104831530104686151721655393769709204113086384370114449867694043416099691090668225271610920712598921457756000911073803947970245545237544485905118419429647406540700409810172412855208411360926755981342233917723473397888322628862568890970062906597499873689223541e+00 
order = 6, lambda = 3.56979529374994462051535252960697797567745917676502626322596394460629421029814460918934592566961921162610014362679361443932355744120440093906820128132696536043711164565167226668521983516480515836052587656468210212160870154818409244491568652757510276785810991087219850672002795658082618233293114211951922e+00 
order = 7, lambda = 3.56991346542234851484097351966801182631863218890736862997046216563500893062358806680318850324330919819749482638167660171506497015127553949624708072010294945740267529581975023694489201330721054995095833424854244679065569881529219188509115376170972492755849879386944829217482444882689710247962022595953361e+00 
order = 8, lambda = 3.56993877423330548779344606756298692636115014624332439706973965078701729230296041671253280151443518691560509928727751739578000581027740319428264388499285274267642730941681191063824048932758443761294494727162039755815789414375156320917512218502092949169232573377322529551777434955680289468867174611758044e+00 
order = 9, lambda = 3.56994419460806493324363334387217333647009679760874039722866965604027176069888874408900512399311710099548118739610089409128644488507234225498293372835894641135461869922724556215305385368693472194066860934254774010076783070465659366897021642817284314922667729490413678163078139428644695761975576653119182e+00 
order = 10, lambda = 3.56994535548646858089280238230816424881638502777557406396494048809126520323178159874944690583372079957741689533850212458669903836096753283138555667002513460354759760147886864401341710189378665300455432199518021300617923709466537173367409872170374969585728908668596898192001958499666667960024697471195004e+00 
order = 11, lambda = 3.5699456041110784381341172613816007521225000068803685272166043045405094665424281206359689997458308877735711980917140478388422242239791090043926418561999690442135756439821872955886014556625583758201753012556679154594824551384201163051139890556771038431543517851986102917957301538945146814368078136225921e+00 
order = 12, lambda = 3.56994565735885649972960761456812675266041026849919676377058520023547136538208938547413754441742089950247405745382933384358883414956835735605393028224372786154614704979611392364143778621022282216598328472667742491532668915664053518287448201134760339057320722838762011343871993882612616988820018037754823e+00 
