PREC = 340, tol = 6.934555e-310
order = 2, lambda = 3.4985616993277015199989453819445392678868790365444268365728236385233853212434210286627389815453650944698e+00 
order = 3, lambda = 3.554640862768824865366081851948491791827200014114300776991897223001804575379262709940889218781462464027e+00 
order = 4, lambda = 3.5666673798562685139726311574553680919379540660013572160285974183485486693818435017921110532900071012004e+00 
order = 5, lambda = 3.5692435316371103378082495109127455581766294410483153010468615172165539376970920411308638437011444986797e+00 
order = 6, lambda = 3.56979529374994462051535252960697797567745917676502626322596394460629421029814460918934592566961921013e+00 
order = 7, lambda = 3.5699134654223485148409735196680118263186321889073686299704621656350089306235880668031885032433053440016e+00 
order = 8, lambda = 3.5699387742333054877934460675629869263611501462433243970697396507870172923029604167125328015117023167357e+00 
order = 9, lambda = 3.5699441946080649332436333438721733364700967976087403972286696560402717606988887440890051233041858207161e+00 
order = 10, lambda = 3.5699453554864685808928023823081642488163850277755740639649404880912652032317815987494468316083528394182e+00 
order = 11, lambda = 3.5699456041110784381341172613816007521225000068803685272166043045405094665424281206359650775111147005921e+00 
order = 12, lambda = 3.5699456573588564997296076145681267526604102684991967637705852002354713653820893854740245952884116579361e+00 
order = 13, lambda = 3.5699456687628999683470976698092001600658310767638239611611575312305054612623134672880163009430136353706e+00 
order = 14, lambda = 3.5699456712052968545289140940915181597126814686792353832518848911735980778003651169663345250406701659775e+00 
order = 15, lambda = 3.5699456717283834742050690192096973333697091450035687234702498642248558107577980775436144231455137691371e+00 
order = 16, lambda = 3.5699456718404126096918344700869242030433243926552701836277324488812492916180009281918825838820477457114e+00 
order = 17, lambda = 3.5699456718644058198519157431814989437366428768742500012180313776308636343683648743843833666407481831012e+00 
order = 18, lambda = 3.5699456718695444307256281149080796023027669972068565487150891256169375715707002133055486893493063580889e+00 
order = 19, lambda = 3.5699456718706449638154168955016539851271981094979676818237388138845167213547758096336642220318698872798e+00 
order = 20, lambda = 3.5699456718708806643016934408721443201839391224163609225515007551371893641002093342380929669379678945907e+00 
order = 21, lambda = 3.569945671870931144128012576248674195345009982822577628513350810215892608426425013116630523727434204566e+00 
order = 22, lambda = 3.5699456718709419553609695599160619956411361789940269567037931169067304308610530826353720079260228051078e+00 
order = 23, lambda = 3.5699456718709442707959972328025985630574514484604752306878962203636181931053471514977466730591925933547e+00 
order = 24, lambda = 3.5699456718709447666912747377954329833395627988006659438856793220862901060531814069108225277345939408801e+00 
order = 25, lambda = 3.5699456718709448728968574091892769792410534732634685990878269295940689855713875953475843132501982426096e+00 
order = 26, lambda = 3.5699456718709448956428408904631137637850465510339226861555169018818891513708368593488746603581500591081e+00 
order = 27, lambda = 3.5699456718709449005143340033174999247532053888378605609809647059723028493039796044928141020902305950928e+00 
order = 28, lambda = 3.5699456718709449015576586486609375795187604084436907510654650668469571497676951530375085959982327225426e+00 
order = 29, lambda = 3.5699456718709449017811068380279143387436408669299569984191379005562220805536437494081539575002115507318e+00 
order = 30, lambda = 3.5699456718709449018289625975503445175345229368320599442525127139104006044474566953795130563791628527904e+00 
order = 31, lambda = 3.5699456718709449018392118357561078880881223000710576235875919378045642049200592960203259744018469664543e+00 
order = 32, lambda = 3.5699456718709449018414069087179996260369535593642575756595814125661591494979233538520663089665991187252e+00 
order = 33, lambda = 3.5699456718709449018418770261268543354933520857286607793988543895805834976128346981493662172576946559453e+00 
order = 34, lambda = 3.5699456718709449018419777108794549036702921670341820546876700156204628967848181258583774175226294627181e+00 
order = 35, lambda = 3.5699456718709449018419992744701990418140691527793312673230881892842804425165305800419404483701913825386e+00 
